,nomes,idade,cidade,estado,cpf,cnpj,validade_cpf,validade_cnpj
638,David Blackburn,72,Abatiá,PR,18977310784,23604792546411,True,True
639,Jeffrey Villanueva,85,Angra Dos Reis,RJ,74116504041,49569816335067,True,True
640,Dustin Davis,62,Acari,RN,41457492350,43389673407204,True,True
641,Manuel Woods,42,Alta Floresta D'Oeste,RO,78728441508,81439262259055,True,True
642,Crystal Olsen,89,Amajari,RR,62712688112,22909693347440,True,True
643,Martin Reed,63,Aceguá,RS,89473106629,27088217772553,True,True
644,Katie Smith,54,Abdon Batista,SC,55670037499,23031307964464,True,True
645,Patrick Blackwell,51,Amparo De São Francisco,SE,91379361583,56270430857062,True,True
646,Joseph Cherry,70,Adamantina,SP,26483234902,10470998465454,True,True
647,Earl Walton,39,Abreulândia,TO,01846786762,28129313098112,True,True
648,Thomas Wilson,48,Acrelândia,AC,46981857774,48229159887758,True,True
649,Charles Jackson,82,Água Branca,AL,97243882633,93316151138756,True,True
650,Mr. Randy Kelley,29,Alvarães,AM,06051181911,40742860746273,True,True
651,Beverly Hall,44,Serra Do Navio,AP,18881224712,64826516224283,True,True
652,Kevin Zimmerman,87,Abaíra,BA,56434597363,98689114302280,True,True
653,Gary Griffith,42,Abaiara,CE,12852276380,94045041719657,True,True
654,Joseph Adams,49,Brasília,DF,73321396262,58380448472507,True,True
655,Kelly Parker,60,Afonso Cláudio,ES,57857735892,46298702643879,True,True
656,Ashley Hall,79,Abadia De Goiás,GO,58455036800,50673212511200,True,True
657,John Welch,29,Açailândia,MA,72456965353,61472452612018,True,True
658,Spencer Vazquez,26,Abadia Dos Dourados,MG,22043317598,55384304568988,True,True
659,Jack Coleman,20,Água Clara,MS,44454128138,65944904903552,True,True
660,David Smith,67,Acorizal,MT,87810033077,38847860092660,True,True
661,Thomas Buchanan,86,Abaetetuba,PA,85188944332,95962699460773,True,True
662,Joe Rodriguez,90,Água Branca,PB,94268525149,96618326981203,True,True
663,Helen Hall,37,Abreu E Lima,PE,71250839270,81940090920625,True,True
664,Melissa Russell,41,Acauã,PI,78366877167,05146705033220,True,True
665,Jessica Robinson,90,Abatiá,PR,52698433663,66772846912076,True,True
666,Barbara Heath,49,Angra Dos Reis,RJ,44985621943,42910614838405,True,True
667,Michael Maldonado,47,Acari,RN,29460381650,78322405890228,True,True
668,Stacy Carr,78,Alta Floresta D'Oeste,RO,25515236130,31105725338705,True,True
669,Jeffery Robles,46,Amajari,RR,48459068218,23417626483226,True,True
670,Joshua Conrad,76,Aceguá,RS,77525755264,67430566367850,True,True
671,Michael Garcia,22,Abdon Batista,SC,78384949409,04414061617900,True,True
672,Lisa Blankenship,85,Amparo De São Francisco,SE,93209476276,19545277058550,True,True
673,Elizabeth Harris,88,Adamantina,SP,09261664334,78174823093030,True,True
674,John Burton,56,Abreulândia,TO,27302900442,54607485741709,True,True
675,Michael Lane,66,Acrelândia,AC,56094433505,85133035934472,True,True
676,Donna Perez,58,Água Branca,AL,54553195313,51183025369889,True,True
677,Craig Jennings,89,Alvarães,AM,57444849307,64409224284140,True,True
678,Veronica George,63,Serra Do Navio,AP,93857825766,83398803669480,True,True
679,Christina Martin DDS,51,Abaíra,BA,85932601957,18322490309125,True,True
680,Laura Gallagher,48,Abaiara,CE,94704196933,67508993873777,True,True
681,Angela Boyd,32,Brasília,DF,91152762877,76441970348786,True,True
682,Paul Rodriguez,59,Afonso Cláudio,ES,28679700673,98750436639926,True,True
683,Kimberly Quinn,55,Abadia De Goiás,GO,22097224547,29659247394714,True,True
684,Reginald Baker,89,Açailândia,MA,23560069408,75641183030545,True,True
685,Sarah Cruz,64,Abadia Dos Dourados,MG,35553966175,13098777236380,True,True
686,Anthony Price,62,Água Clara,MS,28291262110,81374667820978,True,True
687,Alexandra Anthony,45,Acorizal,MT,22575304032,49960770081906,True,True
688,Jill Bell,82,Abaetetuba,PA,28790939700,94456751112120,True,True
689,Angelica Ball,71,Água Branca,PB,71534990321,25693802868740,True,True
690,Mrs. Christina Parker,24,Abreu E Lima,PE,20873752678,69042652360051,True,True
691,Mr. Sean Benjamin DDS,33,Acauã,PI,42694446221,96697574959011,True,True
692,Michael Bailey,80,Abatiá,PR,17783742475,01558695966951,True,True
693,Eugene Ellis,60,Angra Dos Reis,RJ,19102565366,05860434421288,True,True
694,Melissa Finley,86,Acari,RN,33887222938,05977487367998,True,True
695,Christy Miller MD,85,Alta Floresta D'Oeste,RO,86785970709,79277887200046,True,True
696,Alicia Garner,25,Amajari,RR,26858382445,00578522813516,True,True
697,Elizabeth Moore,81,Aceguá,RS,21577918924,69507723947134,True,True
698,Joshua Garza,88,Abdon Batista,SC,82682640206,33887364592938,True,True
699,Sean Sutton,31,Amparo De São Francisco,SE,58571305307,94679422471890,True,True
700,Charles Lee,71,Adamantina,SP,87537280177,87473518040181,True,True
701,James Jackson,33,Abreulândia,TO,56054153366,02134950687857,True,True
702,Elizabeth Robinson,81,Acrelândia,AC,98629387904,74301506521908,True,True
703,Emily Wright,66,Água Branca,AL,02862770345,70803762966464,True,True
704,William Fletcher,62,Alvarães,AM,32212645007,52679257349606,True,True
705,Michael Knight,69,Serra Do Navio,AP,02009352912,81963548367784,True,True
706,Jeanette Wilcox,72,Abaíra,BA,48012927047,14956776781315,True,True
707,Fred Gordon,56,Abaiara,CE,69082948621,61277924230987,True,True
708,Mandy Weaver,42,Brasília,DF,37353657952,39871329222905,True,True
709,Katherine Harris,72,Afonso Cláudio,ES,67935542554,14547921130125,True,True
710,David Johnson,52,Abadia De Goiás,GO,81835422985,47268900864786,True,True
711,Scott Walsh,18,Açailândia,MA,32753000832,31810698906672,True,True
712,Sarah Wood,38,Abadia Dos Dourados,MG,16900345999,10260579739539,True,True
713,Jon Shaw,63,Água Clara,MS,56008860632,57368434566070,True,True
714,Mary Baxter,57,Acorizal,MT,18675964668,58322203475611,True,True
715,Gina Vasquez,65,Abaetetuba,PA,91872334288,03130777306160,True,True
716,Chelsea Jordan,53,Água Branca,PB,75721096594,92408646582588,True,True
717,Sandra Clark,41,Abreu E Lima,PE,33807301305,12046947811862,True,True
718,Lisa Rogers,29,Acauã,PI,82778016619,95073658107287,True,True
719,Dr. Jennifer Kennedy,35,Abatiá,PR,51226237754,16633707777455,True,True
720,Lisa Daniels,70,Angra Dos Reis,RJ,13662958384,53197347869538,True,True
721,Gary Klein,66,Acari,RN,72195541172,60477546454276,True,True
722,Evan Mclaughlin,63,Alta Floresta D'Oeste,RO,53619992290,62820436677400,True,True
723,Victor Green,22,Amajari,RR,68893491052,71431529774049,True,True
724,Melanie Santos,19,Aceguá,RS,94354339366,73787640357154,True,True
725,Kathleen Bowman,61,Abdon Batista,SC,82204542296,99820789466630,True,True
726,Lori Taylor,90,Amparo De São Francisco,SE,40387785337,61507408495873,True,True
727,Crystal Jones,43,Adamantina,SP,46619823718,87838141151881,True,True
728,Anthony Manning,74,Abreulândia,TO,19749632508,29977802391307,True,True
729,Andrew Powers,41,Acrelândia,AC,69666399822,86252787608020,True,True
730,Scott Dawson,22,Água Branca,AL,82508808385,80520181113743,True,True
731,Brandy Turner,55,Alvarães,AM,85126199536,06530995672799,True,True
732,Rhonda Sampson,88,Serra Do Navio,AP,00613063988,81490537592922,True,True
733,Sonya Waller,78,Abaíra,BA,27180977012,04679081704717,True,True
734,Terrence Smith,72,Abaiara,CE,83959176430,81656080438801,True,True
735,Mark Gutierrez,20,Brasília,DF,01774813157,38517568905613,True,True
736,Dillon Hunt,45,Afonso Cláudio,ES,99225106777,26456835724142,True,True
737,Chelsea Pitts,20,Abadia De Goiás,GO,07173832454,07901824074541,True,True
738,Joseph Foster,32,Açailândia,MA,17425016486,08610463524259,True,True
739,Lori Bartlett,57,Abadia Dos Dourados,MG,68670002400,85763132319701,True,True
740,Laurie Wood,88,Água Clara,MS,98279975306,68291810010817,True,True
741,John Smith,51,Acorizal,MT,34812743788,49783773696622,True,True
742,Justin Byrd,58,Abaetetuba,PA,74795022224,77761064410460,True,True
743,Heather Peck,78,Água Branca,PB,83595593413,48002667032949,True,True
744,Raymond Fleming,36,Abreu E Lima,PE,30985565101,41263960624508,True,True
745,Evelyn Logan,47,Acauã,PI,18888832190,00974895245435,True,True
746,Sharon Hess,85,Abatiá,PR,32645433898,90119413402221,True,True
747,Stanley Cook,80,Angra Dos Reis,RJ,33206697379,33235349299876,True,True
748,Annette Fuller,63,Acari,RN,48051121821,80096509987126,True,True
749,Jennifer Brown,84,Alta Floresta D'Oeste,RO,43797129823,96335871006508,True,True
750,Donald Young,56,Amajari,RR,20991503112,29705562597763,True,True
751,Stephen Williams,35,Aceguá,RS,40066300185,85524210435880,True,True
752,Robert Andersen,49,Abdon Batista,SC,85287066724,15910989328542,True,True
753,Mr. Juan Huynh,60,Amparo De São Francisco,SE,45866471086,61802281739897,True,True
754,Tanya Singh MD,74,Adamantina,SP,89382967508,49271945974247,True,True
755,Kathryn Ray,86,Abreulândia,TO,42463976101,18964230484745,True,True
756,Chloe Gonzalez,30,Acrelândia,AC,59992046236,37097394632464,True,True
757,Aaron Kelly,52,Água Branca,AL,30682658006,12635434262770,True,True
758,Michael Becker,44,Alvarães,AM,41095919610,86438273572875,True,True
759,Joseph Horton,64,Serra Do Navio,AP,37059435530,43537445152309,True,True
760,Steven Terry,90,Abaíra,BA,03800057603,69307123325393,True,True
761,Steven Houston,48,Abaiara,CE,79976692641,36245569861151,True,True
762,Alexandria Soto MD,33,Brasília,DF,84572378886,20771394933861,True,True
763,James Mcdonald,78,Afonso Cláudio,ES,62723064743,55975633340471,True,True
764,Cassandra Kirk,20,Abadia De Goiás,GO,74340279838,34497486964012,True,True
765,Deanna Conner,25,Açailândia,MA,45181454615,90610315899960,True,True
766,Jamie Jones,66,Abadia Dos Dourados,MG,42430790726,71844439374065,True,True
767,Thomas Jones,73,Água Clara,MS,04574266325,11089127315804,True,True
768,Marie Mcclure,68,Acorizal,MT,05701238288,66059074215060,True,True
769,Kenneth Foster,58,Abaetetuba,PA,44281133313,76793172358867,True,True
770,Heather Bryant,49,Água Branca,PB,71337575674,60142500795109,True,True
771,Julie Wu,51,Abreu E Lima,PE,66885169935,85556142281000,True,True
772,Todd Phillips,69,Acauã,PI,66659187421,28921907389808,True,True
773,Daniel Keller,44,Abatiá,PR,09060561791,38370204509464,True,True
774,Jennifer Garcia,22,Angra Dos Reis,RJ,00528140337,34247738293096,True,True
775,Holly Taylor,43,Acari,RN,23499914239,67536327433181,True,True
776,Amanda Sims,22,Alta Floresta D'Oeste,RO,53193306690,01643186058591,True,True
777,Kim Morgan,50,Amajari,RR,10061357405,43824806894701,True,True
778,Tonya Oliver,53,Aceguá,RS,38977261228,89711000348371,True,True
779,Bruce Flores,49,Abdon Batista,SC,51747205001,11083934834507,True,True
780,Stephen Gardner,59,Amparo De São Francisco,SE,22288262516,56416596349642,True,True
781,Michael Fowler,30,Adamantina,SP,71980239592,52186536020091,True,True
782,Michael West,84,Abreulândia,TO,93628679400,40416486185001,True,True
783,Vanessa Blair,28,Acrelândia,AC,00506521680,60317106282612,True,True
784,Dylan Rowe,69,Água Branca,AL,91567210058,97619855925890,True,True
785,Autumn Blackwell,56,Alvarães,AM,37758111092,76284419364208,True,True
786,Jessica Smith,78,Serra Do Navio,AP,36647096329,53076625174193,True,True
787,Gary Page,65,Abaíra,BA,38699871708,70739241323144,True,True
788,Kimberly Roberts,62,Abaiara,CE,97792110559,78672369709099,True,True
789,Andrew Gilbert,72,Brasília,DF,17581899241,23505301537222,True,True
790,Kristina Bryant,88,Afonso Cláudio,ES,16665049710,03041620985805,True,True
791,Dawn Richardson,55,Abadia De Goiás,GO,09020845004,48102808533945,True,True
792,Linda Foster,40,Açailândia,MA,10762416114,35951545166562,True,True
793,Jorge Chan,44,Abadia Dos Dourados,MG,18352074300,94098604187304,True,True
794,Ryan Gardner,88,Água Clara,MS,16668806635,42424056483912,True,True
795,David Bradley,74,Acorizal,MT,25207012851,63497096305861,True,True
796,Eric Mullins,75,Abaetetuba,PA,92949867642,31774988686730,True,True
797,Gregg Stephens,70,Água Branca,PB,47547184960,24784207903413,True,True
798,Megan Cantu,21,Abreu E Lima,PE,06091108107,94759051539672,True,True
799,Belinda Alexander,18,Acauã,PI,20232785112,30979970575047,True,True
800,Joshua Jacobson,86,Abatiá,PR,90010653333,10385735699782,True,True
801,Kathryn Carlson,89,Angra Dos Reis,RJ,98850852703,14371608803868,True,True
802,Eric Johnson,71,Acari,RN,05256528840,43750513941067,True,True
803,Dale Carlson,69,Alta Floresta D'Oeste,RO,83306172383,43800925981015,True,True
804,Rebekah Lowe,42,Amajari,RR,25618477050,06311228211473,True,True
805,Craig Jones,63,Aceguá,RS,46226113170,21768270702731,True,True
806,Christopher Torres,89,Abdon Batista,SC,09189077806,74196356783868,True,True
807,Stacey Evans,34,Amparo De São Francisco,SE,66641509648,67906431234428,True,True
808,Christopher Tran,43,Adamantina,SP,53900763038,75484419878802,True,True
809,Danielle Ryan,20,Abreulândia,TO,82648809325,30575907179360,True,True
810,Barbara Phelps,48,Acrelândia,AC,97900142100,92235650772960,True,True
811,Jeremy Smith,78,Água Branca,AL,75986108000,66902486225082,True,True
812,Brian Baker,84,Alvarães,AM,24588018035,54700252463500,True,True
813,Kendra Mitchell,87,Serra Do Navio,AP,96998787707,10629752010990,True,True
814,Michael Burgess,22,Abaíra,BA,14652634625,21276427066880,True,True
815,Barbara Taylor,60,Abaiara,CE,42389030726,13884220705979,True,True
816,Kathryn Hart,54,Brasília,DF,65280371670,92240851424329,True,True
817,Christopher Singh,25,Afonso Cláudio,ES,86515829787,19632545680182,True,True
818,Jeffrey Carlson,85,Abadia De Goiás,GO,64374874100,65157780355843,True,True
819,Charles Blanchard,78,Açailândia,MA,62182659277,77895387732052,True,True
820,Jessica Warner,89,Abadia Dos Dourados,MG,41042768129,54296726069185,True,True
821,Karen Rowe,52,Água Clara,MS,34637033195,12319927249001,True,True
822,Michelle Powell,55,Acorizal,MT,81132796954,69262452674963,True,True
823,Tina Byrd PhD,46,Abaetetuba,PA,81812644795,24967045192765,True,True
824,Victoria Gill,37,Água Branca,PB,70877180458,07457931075502,True,True
825,Jon Lynch,68,Abreu E Lima,PE,06544679194,64317609614749,True,True
826,Kyle Cross,21,Acauã,PI,09725806468,44210142540501,True,True
827,William Norris,69,Abatiá,PR,42789700567,87477181961502,True,True
828,Kathleen Miller,52,Angra Dos Reis,RJ,04235582852,13532656925508,True,True
829,Heather Kim,75,Acari,RN,18346174136,25954853090249,True,True
830,Michael Lee,35,Alta Floresta D'Oeste,RO,43543841599,95323623661787,True,True
831,Brandon Walters,55,Amajari,RR,34613641853,51723674456809,True,True
832,Lisa Brown,21,Aceguá,RS,67491294987,31189436261160,True,True
833,Theresa Wilson,84,Abdon Batista,SC,60209127791,34047612971327,True,True
834,Christopher Melendez,66,Amparo De São Francisco,SE,32860070567,97815590167195,True,True
835,Rodney Peck,45,Adamantina,SP,00330933930,82322295338544,True,True
836,Kaitlyn Bell,43,Abreulândia,TO,44071238852,55681502668452,True,True
837,Amy Morgan,75,Acrelândia,AC,94337120564,64740548007678,True,True
838,Danielle Thompson,81,Água Branca,AL,34978753686,35347085904739,True,True
839,Brianna Walker,27,Alvarães,AM,15838364629,69755310347651,True,True
840,Dr. Karen Brown MD,53,Serra Do Navio,AP,13166571167,76388709218475,True,True
841,Sheri Bell,28,Abaíra,BA,37203685306,15479953098372,True,True
842,Taylor Lewis,53,Abaiara,CE,98855658506,73140831048763,True,True
843,Shannon Donovan,83,Brasília,DF,66661646446,29957993389103,True,True
844,Kelly Gonzalez,86,Afonso Cláudio,ES,11886592608,32687518494703,True,True
845,John Rodriguez,37,Abadia De Goiás,GO,83445226253,43220040995692,True,True
846,Brian Taylor,55,Açailândia,MA,21142052079,00787837808901,True,True
847,Jose Charles,19,Abadia Dos Dourados,MG,97104776176,21244532155938,True,True
848,Kellie Ferguson,58,Água Clara,MS,44574928336,68299779098776,True,True
849,Ryan Lee,63,Acorizal,MT,32029463582,04807515645010,True,True
850,Allen Horn,63,Abaetetuba,PA,40273042173,55614567902852,True,True
851,Daniel James,21,Água Branca,PB,23761437641,45938288437799,True,True
852,Tyler Hodge,57,Abreu E Lima,PE,49404265721,36491856574592,True,True
853,Sarah Thomas,25,Acauã,PI,93633106715,00633311666137,True,True
854,Carlos Allen,31,Abatiá,PR,89158748890,71719311691121,True,True
855,Christopher Roberts,82,Angra Dos Reis,RJ,98682633957,32262517574664,True,True
856,Monica Taylor,25,Acari,RN,12078090123,48696583448385,True,True
857,Jennifer Hernandez,69,Alta Floresta D'Oeste,RO,10651017165,55189582869917,True,True
858,Samuel Hoffman,41,Amajari,RR,51879288990,69263059191764,True,True
859,Kimberly Garcia,43,Aceguá,RS,75864361186,68034698079952,True,True
860,George Garrison,54,Abdon Batista,SC,49986505054,75482203627716,True,True
861,Samuel Garcia,50,Amparo De São Francisco,SE,41621663744,12733450509440,True,True
862,David Adams,67,Adamantina,SP,72923965698,06218960189473,True,True
863,Timothy Johnson,60,Abreulândia,TO,77298851586,44018030868109,True,True
864,Robin Bennett,22,Acrelândia,AC,44983565787,42259974439446,True,True
865,Carmen Smith,88,Água Branca,AL,36954367869,43878648288848,True,True
866,Krista Wade,67,Alvarães,AM,65253147551,43115039796310,True,True
867,Kevin Patton,35,Serra Do Navio,AP,62723324168,70533854099069,True,True
868,Tracey Poole,61,Abaíra,BA,55761767155,60866953747965,True,True
869,Jacqueline Patel,40,Abaiara,CE,35093715778,06165219717005,True,True
870,Shawn Thompson,23,Brasília,DF,12817105478,80588884123776,True,True
871,Elizabeth Boyd,29,Afonso Cláudio,ES,69694923700,36203973876275,True,True
872,Cameron Moreno,57,Abadia De Goiás,GO,52459702604,93971184713696,True,True
873,Thomas Barnett,74,Açailândia,MA,65505473261,11781233097253,True,True
874,Laurie Long,21,Abadia Dos Dourados,MG,18471733900,12944806590593,True,True
875,Leslie Simmons,24,Água Clara,MS,31189994976,57543703503339,True,True
876,Brandon Jefferson,58,Acorizal,MT,27554997025,53675602370115,True,True
877,Natalie Bradley,51,Abaetetuba,PA,66718916307,85950785555843,True,True
878,Ashley Martin,52,Água Branca,PB,34558576390,17480649948340,True,True
879,Robert Burke,62,Abreu E Lima,PE,68596519700,04519457990559,True,True
880,Brittany Hodges,28,Acauã,PI,15741422160,70691699761283,True,True
881,Wendy Nguyen,56,Abatiá,PR,55906884009,44945137906207,True,True
882,Ashley Lawson,82,Angra Dos Reis,RJ,01630918970,89080931631495,True,True
883,Michael Wood,61,Acari,RN,87363573247,39487142286382,True,True
884,Ariel Baker,73,Alta Floresta D'Oeste,RO,71932238875,96509473356618,True,True
885,Aaron West,41,Amajari,RR,00448470250,39488466236230,True,True
886,William Scott,19,Aceguá,RS,19889966352,54074187674670,True,True
887,Diana Hunt,26,Abdon Batista,SC,55625814856,46061794168038,True,True
888,Sue Ward,78,Amparo De São Francisco,SE,30107614901,10882969586701,True,True
889,Erica Miller,55,Adamantina,SP,98566055390,32370236805104,True,True
890,Sara Gibson,87,Abreulândia,TO,95516909821,06701739752826,True,True
891,Meredith Strong,86,Acrelândia,AC,26401157070,02270831193586,True,True
892,Katrina Casey,19,Água Branca,AL,03210193770,08319956893000,True,True
893,Nathan Newton,71,Alvarães,AM,32622825374,86865547358568,True,True
894,Emily Richmond,27,Serra Do Navio,AP,62221582268,75474587352793,True,True
895,Sophia Miller,54,Abaíra,BA,74037461986,97403421698500,True,True
896,Jennifer Morgan,31,Abaiara,CE,02471293212,20979944285490,True,True
897,Nathan Lane MD,40,Brasília,DF,39222207033,99480075880044,True,True
898,Sara Johnson,74,Afonso Cláudio,ES,06572169766,43687442523694,True,True
899,Ian Davis,77,Abadia De Goiás,GO,00025315692,94826829312240,True,True
900,Nicholas Hicks,84,Açailândia,MA,44319586573,52448554164187,True,True
901,Stephen Johnson,32,Abadia Dos Dourados,MG,32520637358,68688935342292,True,True
902,Phillip Shaw,33,Água Clara,MS,19751181704,11206586162064,True,True
903,Andrew Mann,20,Acorizal,MT,77203462200,98373574546170,True,True
904,Alice Zamora,39,Abaetetuba,PA,54008023461,43323748260393,True,True
905,Jennifer Walker,77,Água Branca,PB,04916824172,65806172762450,True,True
906,Margaret Haynes,49,Abreu E Lima,PE,63146603438,73725463159207,True,True
907,Timothy Hunt,50,Acauã,PI,59657548330,39551335400239,True,True
908,Alfred Adams,38,Abatiá,PR,79770875457,44068434934509,True,True
909,Laura Evans,42,Angra Dos Reis,RJ,68897935443,55628865507331,True,True
910,Charles Ortiz,49,Acari,RN,16138915550,46314531410994,True,True
911,Rhonda Burns,23,Alta Floresta D'Oeste,RO,01059978628,85469490589169,True,True
912,Jason Robertson,35,Amajari,RR,68922332794,87872149167604,True,True
913,Melinda Miller,41,Aceguá,RS,08726195160,15218726140772,True,True
914,Todd Monroe,76,Abdon Batista,SC,58541845249,04613220341720,True,True
915,Michael Jones,37,Amparo De São Francisco,SE,13442738318,23975465944366,True,True
916,Sandra Beard,81,Adamantina,SP,72028649402,36251520794919,True,True
917,Derek Wilkerson,65,Abreulândia,TO,63375878800,75670781698535,True,True
918,Brian Burns,27,Acrelândia,AC,95198510467,87696456882453,True,True
919,Joshua Newton,79,Água Branca,AL,85629186604,05731615125826,True,True
920,Martin Wood,20,Alvarães,AM,10943325854,51550804497369,True,True
921,Clayton Watson,42,Serra Do Navio,AP,12248999380,07090080016832,True,True
922,Anthony Powers,22,Abaíra,BA,81249949351,32811339637006,True,True
923,George Ortiz,37,Abaiara,CE,54979832784,27237605931371,True,True
924,Debbie Terry,30,Brasília,DF,22716148996,51841886523822,True,True
925,Jacob Clements,75,Afonso Cláudio,ES,36860500646,98664747680778,True,True
926,Cynthia Moss,67,Abadia De Goiás,GO,38338340561,15111263619781,True,True
927,Katherine Jackson,35,Açailândia,MA,09699534966,38468520860707,True,True
928,James Vargas,87,Abadia Dos Dourados,MG,37973765298,20689125743210,True,True
929,Amber Martinez,55,Água Clara,MS,91492721794,48456328780300,True,True
930,Walter Graham,62,Acorizal,MT,90873910567,03473666436603,True,True
931,Deborah Jones,44,Abaetetuba,PA,62721374788,74074550796859,True,True
932,Brian Johnson,68,Água Branca,PB,03485795356,20187595317937,True,True
933,Cody Wilkerson,78,Abreu E Lima,PE,83575920230,00349567642528,True,True
934,Tracy Mendez,22,Acauã,PI,96636097965,24319701626730,True,True
935,Angela Stevens,21,Abatiá,PR,80541355805,30772945196909,True,True
936,John Olsen,40,Angra Dos Reis,RJ,70926088564,03472323910989,True,True
937,Anita Carroll,27,Acari,RN,81840272902,69492255827869,True,True
938,Megan Johnson,57,Alta Floresta D'Oeste,RO,56659290770,24299883708020,True,True
939,David Tapia,50,Amajari,RR,15849824030,62376551996029,True,True
940,Heidi Jenkins,52,Aceguá,RS,15049112885,99088778668820,True,True
941,Todd Chan,83,Abdon Batista,SC,45786249190,30622489716779,True,True
942,Raymond White,21,Amparo De São Francisco,SE,83778552678,66462875145430,True,True
943,Eric Palmer,88,Adamantina,SP,63602850102,39157296097848,True,True
944,Lawrence Gordon,25,Abreulândia,TO,39674189440,98185368623491,True,True
945,Marie Irwin,37,Acrelândia,AC,33621393374,07059542872615,True,True
946,Misty Gallegos,69,Água Branca,AL,74293965696,20303114477194,True,True
947,Kelly Johnson,71,Alvarães,AM,63079970527,00433658193726,True,True
948,Deanna Wilson,34,Serra Do Navio,AP,02876131781,12471938507664,True,True
949,Amanda Turner,84,Abaíra,BA,86777927913,20974023966548,True,True
950,Alexander West,29,Abaiara,CE,12388473314,26251386807735,True,True
951,Victoria Wright,33,Brasília,DF,49698155007,45545549102873,True,True
952,Patricia Hicks,43,Afonso Cláudio,ES,35356802471,76356892547242,True,True
953,Rhonda Barnes,60,Abadia De Goiás,GO,94803651620,64899708464520,True,True
954,Erin Barnes,53,Açailândia,MA,52424529949,01148240212203,True,True
955,Angela Nelson,58,Abadia Dos Dourados,MG,09845564194,30536095653194,True,True
956,Brandon Reynolds,28,Água Clara,MS,81552242013,60735434582195,True,True
957,Anna Blake,82,Acorizal,MT,39051118457,47762774573822,True,True
958,Mr. Ricardo Wright,59,Abaetetuba,PA,32424573239,66100959774633,True,True
959,Aaron Rivera,58,Água Branca,PB,89476418478,28849860592614,True,True
960,Paul Hoover,38,Abreu E Lima,PE,15525984628,43527281580713,True,True
961,Sheila Morris,49,Acauã,PI,75633570928,04523084133085,True,True
962,Kelly Davis,27,Abatiá,PR,12816268640,84166554191315,True,True
963,Robin Key,53,Angra Dos Reis,RJ,92590952716,77186470730866,True,True
964,Rhonda Jordan,82,Acari,RN,70983836353,07397194764885,True,True
965,Joshua Meza,60,Alta Floresta D'Oeste,RO,92830910788,90268121886789,True,True
966,Meghan Pham,23,Amajari,RR,74247617141,01598788963722,True,True
967,Steven Kim,76,Aceguá,RS,74936131334,23287575775630,True,True
968,Regina Garcia,79,Abdon Batista,SC,64155844214,02677328764636,True,True
969,Henry Lloyd,82,Amparo De São Francisco,SE,63476301680,26586244767409,True,True
970,Nathaniel Mitchell,34,Adamantina,SP,34290945341,20007288465870,True,True
971,Kevin Wiley,65,Abreulândia,TO,21980831408,51055053748404,True,True
972,Laura Davis,22,Acrelândia,AC,47809988670,38051807593860,True,True
973,Carlos Ho,81,Água Branca,AL,23245667965,76337998658700,True,True
974,Christopher Miles,55,Alvarães,AM,44870541840,20339351367946,True,True
975,Robert Sutton,62,Serra Do Navio,AP,27120217895,78277610992720,True,True
976,Amber Taylor,43,Abaíra,BA,35411806097,48899286143226,True,True
977,Hector Huffman,23,Abaiara,CE,69740662366,63371258896754,True,True
978,Mrs. Shelby Davies,37,Brasília,DF,23635411205,92929314747645,True,True
979,Melvin Green,45,Afonso Cláudio,ES,67089047059,82551382263387,True,True
980,Natalie Price,84,Abadia De Goiás,GO,20845246798,10878311699750,True,True
981,Gregory Clarke,48,Açailândia,MA,12870165536,67975291389486,True,True
982,Jennifer Brown,66,Abadia Dos Dourados,MG,37693607706,55905754906025,True,True
983,Vanessa Williams,79,Água Clara,MS,04899059434,83565614759284,True,True
984,Catherine Gardner,44,Acorizal,MT,45012244605,02913493878220,True,True
985,Mr. Travis Carpenter MD,63,Abaetetuba,PA,36596808181,47075102221900,True,True
986,Sean Hays MD,77,Água Branca,PB,28106386244,92414303043730,True,True
987,Levi Williams,29,Abreu E Lima,PE,85939960510,28065137258310,True,True
988,Adrienne Carpenter,27,Acauã,PI,96567259809,24904550691767,True,True
989,Jeffrey Ortiz,71,Abatiá,PR,03947860684,31640658875309,True,True
990,Maria Johnson,44,Angra Dos Reis,RJ,18115448869,98827892558250,True,True
991,Kimberly Sawyer,45,Acari,RN,23092929233,24208700344810,True,True
992,Kristy Salinas,86,Alta Floresta D'Oeste,RO,79500707144,17848214798230,True,True
993,Holly Warner,76,Amajari,RR,67623200828,66792193335600,True,True
994,Elizabeth Hunter,83,Aceguá,RS,76105073933,52864957071109,True,True
995,Tammy Wong,74,Abdon Batista,SC,19417672142,94811052296708,True,True
996,Crystal Hayes,84,Amparo De São Francisco,SE,19433184769,50421510682007,True,True
997,Erica Smith,60,Adamantina,SP,03545808840,82709695610649,True,True
998,Christian Hernandez,63,Abreulândia,TO,38900751182,38853297051287,True,True
999,Wendy Cole,64,Acrelândia,AC,42253418790,67165477834627,True,True
1000,Kelly Collins,21,Água Branca,AL,01931613621,84995359817060,True,True
1001,Allison Barr,70,Alvarães,AM,09777370717,96111801192175,True,True
1002,Ashley Trevino,38,Serra Do Navio,AP,90915522713,32567159318197,True,True
1003,Kenneth Diaz,32,Abaíra,BA,42066387568,41985422300101,True,True
1004,Laura Henderson,36,Abaiara,CE,83914146206,17578680248332,True,True
1005,Ann Campbell,88,Brasília,DF,18005261560,40967144745301,True,True
